ישוב,סוג רשות מקומית,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,רכבים פרטיים,סהכ כלי רכב,קוד ישוב,תאונות לקילומטר רבוע,אשכול פריפריאלי,מס' תושבים,אשכול חברתי כלכלי,שטח בדונמים רבועים
אשדוד,עירייה,דרום,5646,20,112,7626,894,1225,5640,734,7758,7739,10597,70,88.36358195,7,224628,5,63895101.08
אשקלון,עירייה,דרום,5079,20,96,6999,688,1244,5140,607,7115,7059,9492,7100,97.07935904,5,140968,5,52318021.57
קרית מלאכי,עירייה,דרום,401,1,13,502,94,92,359,48,516,502,700,1034,87.57955979,5,23124,3,4578693.944
באר שבע,עירייה,דרום,7149,36,190,9957,912,1381,7610,1102,10183,9018,12904,9000,60.89517882,5,209002,5,117398456.5
קרית גת,עירייה,דרום,1340,4,37,1671,251,223,1255,143,1712,1652,2318,2630,84.61310161,5,54973,4,15836790.93
רהט,עירייה,דרום,413,7,46,498,171,189,330,27,551,404,632,1161,12.33147869,4,69032,1,33491522.84
שדרות,עירייה,דרום,460,3,13,615,93,121,442,59,631,533,789,1031,72.93196649,4,26455,4,6307248.003
נתיבות,עירייה,דרום,663,0,22,857,135,212,576,77,879,732,1120,246,43.4099072,4,35631,3,15273011.23
להבים,מועצה מקומית,דרום,62,0,4,93,3,14,77,5,97,83,116,1271,5.559403979,4,6350,9,11152274.64
עומר,מועצה מקומית,דרום,200,3,14,300,7,54,237,21,317,285,389,666,10.97669954,4,7586,9,18220413.09
תל שבע,מועצה מקומית,דרום,78,4,8,98,29,44,65,1,110,83,119,1054,8.279308626,3,20204,1,9421076.508
אופקים,עירייה,דרום,296,3,12,371,60,78,265,40,386,330,488,31,28.51768393,3,29021,3,10379524.53
לקיה,מועצה מקומית,דרום,46,2,4,67,12,21,49,2,73,49,75,1060,6.702741963,3,13394,1,6862863.028
חורה,מועצה מקומית,דרום,76,4,8,113,19,33,84,6,125,70,131,1303,8.697668303,3,21558,1,8737974.058
מיתר,מועצה מקומית,דרום,101,0,6,160,2,20,131,13,166,127,187,1268,2.601946182,3,8438,9,38817098.03
שגב שלום,מועצה מקומית,דרום,63,2,11,67,31,23,54,3,80,60,97,1286,4.658148263,3,10362,1,13524687.59
כסייפה,מועצה מקומית,דרום,38,1,4,46,12,15,35,1,51,28,50,1059,2.809343955,3,21079,1,13526289.63
ערערה בנגב,מועצה מקומית,דרום,88,3,18,118,37,56,80,3,139,80,129,1192,6.273937499,3,17640,1,14026279.35
ערד,עירייה,דרום,303,5,18,479,60,95,343,50,502,280,479,2560,2.402264735,3,26451,4,126130977.8
דימונה,עירייה,דרום,513,9,20,713,109,125,550,56,742,539,865,2200,2.32699913,3,34135,4,220455604.6
ירוחם,מועצה מקומית,דרום,75,0,3,109,17,22,69,18,112,74,111,831,1.279898836,3,9974,4,58598381.31
מצפה רמון,מועצה מקומית,דרום,83,1,7,119,11,25,86,13,127,68,112,99,1.094360696,2,5221,3,75843367.08
אילת,עירייה,דרום,1305,5,50,1563,254,278,1126,139,1618,1136,2210,2600,12.96481047,1,51935,6,100657082.7
חיפה,עירייה,חיפה,11124,30,359,14972,1489,1830,11586,1796,15361,15305,20439,4000,152.5302067,6,283640,7,72929816.59
חדרה,עירייה,חיפה,3321,10,118,4607,426,745,3392,496,4735,4290,6045,6500,59.01362148,6,95683,6,56275143.21
קרית מוצקין,עירייה,חיפה,1018,6,44,1373,177,186,1010,217,1423,1390,1852,8200,265.4328603,5,42014,7,3835244.81
ג'ת,מועצה מקומית,חיפה,331,3,18,599,22,165,432,17,620,440,589,628,44.35280513,5,11798,4,7462887.612
פרדס חנה - כרכור,מועצה מקומית,חיפה,1004,5,36,1384,129,229,1040,130,1425,1374,1852,7800,43.95168212,5,42083,7,22843266.78
קרית ביאליק,עירייה,חיפה,868,1,29,1215,139,172,901,157,1245,1244,1602,9500,101.0208478,5,39927,7,8592285.838
באקה אל גרבייה (באקה אל ררבי,עירייה,חיפה,731,2,28,1134,94,334,786,27,1164,917,1282,6000,79.62340572,5,29393,3,9180717.571
קרית ים,עירייה,חיפה,778,1,39,1126,124,163,815,179,1166,1021,1398,9600,68.62175486,5,39909,5,11337512.45
אור עקיבא,עירייה,חיפה,397,2,23,474,78,91,333,59,499,470,670,1020,71.58303113,5,18236,5,5546007.116
קרית אתא,עירייה,חיפה,1733,4,52,2508,192,386,1901,265,2564,2372,3209,6800,99.94889375,5,58267,6,17338861.24
נשר,עירייה,חיפה,740,2,23,1069,58,139,861,88,1094,1071,1362,2500,57.16694884,5,23983,7,12944542.52
ג'סר אל-זרקא,מועצה מקומית,חיפה,140,3,4,171,66,64,101,9,178,119,211,541,69.20912761,5,14692,2,2022854.569
ערערה,מועצה מקומית,חיפה,235,0,11,305,41,93,210,8,316,262,394,637,25.60709679,5,24904,3,9177143.426
בנימינה - גבעת עדה,מועצה מקומית,חיפה,363,2,17,512,29,84,405,35,531,494,662,9800,14.87900563,5,15627,8,24396791.63
כפר קרע,מועצה מקומית,חיפה,454,1,13,668,45,165,490,21,682,557,803,654,58.13330264,5,18675,4,7809637.151
אום אל פחם,עירייה,חיפה,1004,5,36,1611,183,446,1110,57,1652,1203,1714,2710,38.57341929,5,55182,2,26028286.28
חריש,מועצה מקומית,חיפה,98,0,3,163,8,28,127,6,166,126,177,1247,13.94090102,5,7569,3,7029674.756
זכרון יעקב,מועצה מקומית,חיפה,385,2,17,535,48,90,400,50,554,497,677,9300,12.21203468,5,23075,8,31526277.98
פוריידיס,מועצה מקומית,חיפה,220,4,13,349,52,77,266,15,366,276,385,537,54.2247221,5,13085,2,4057189.995
מעלה עירון,מועצה מקומית,חיפה,129,1,4,258,17,74,181,6,263,170,230,1327,21.38063093,5,14833,2,6033498.282
רכסים,מועצה מקומית,חיפה,90,0,7,126,11,39,84,9,133,106,160,922,27.17652019,5,12110,2,3311682.267
קרית טבעון,מועצה מקומית,חיפה,286,1,12,362,35,40,269,62,375,395,508,2300,34.68666402,5,18121,8,8245243.759
טירת כרמל,עירייה,חיפה,569,1,13,804,77,112,611,88,818,770,1036,2100,84.78625529,5,22210,4,6710993.404
"בסמ""ה",מועצה מקומית,חיפה,650,2,5,1007,34,161,796,51,1014,847,1179,1326,115.9992751,5,9779,2,5603483.294
עוספייא,מועצה מקומית,חיפה,342,0,25,570,30,110,443,37,595,502,622,534,47.62826139,4,12354,4,7180610.629
דאלית אל כרמל,מועצה מקומית,חיפה,322,1,15,501,40,133,359,24,517,429,563,494,34.11130218,4,17427,4,9439686.539
ירושלים,עירייה,ירושלים,17599,61,804,22254,4139,3773,15435,2122,23119,18670,29849,3000,140.1879061,9,919438,3,125538646.5
מבשרת ציון,מועצה מקומית,ירושלים,685,0,16,943,66,100,724,78,959,1063,1391,1015,109.0705662,6,23962,8,6280337.803
אבו גוש,מועצה מקומית,ירושלים,111,0,4,134,19,24,90,15,138,134,191,472,58.69160442,6,7543,3,1891241.534
קרית יערים,מועצה מקומית,ירושלים,18,0,0,24,3,7,13,1,24,13,26,1137,36.11632307,6,5565,2,498389.6053
בית שמש,עירייה,ירושלים,1075,8,56,1312,269,274,873,105,1376,1079,1737,2610,28.07526673,5,118676,2,38289930.07
גבעת שמואל,עירייה,מרכז,473,3,8,554,68,67,433,50,565,582,845,681,183.6862683,10,26023,8,2575042.786
פתח תקווה,עירייה,מרכז,7096,19,205,8506,1131,1060,6375,1006,8730,8620,12896,7900,199.3424891,9,244275,7,35597027.17
גני תקווה,מועצה מקומית,מרכז,137,0,7,149,31,28,92,34,156,142,219,229,64.91625331,9,19263,8,2110411.384
ראשון לציון,עירייה,מרכז,7951,32,221,10194,1069,1315,7867,1102,10447,10835,14799,8300,128.4195474,9,251719,7,61914250.29
סביון,מועצה מקומית,מרכז,119,1,5,145,17,24,105,14,151,141,208,587,31.98999436,8,3968,10,3719913.128
בית דגן,מועצה מקומית,מרכז,154,0,2,194,11,22,153,16,196,182,282,466,108.4728864,8,7211,7,1419709.617
יהוד-מונוסון,עירייה,מרכז,549,4,21,659,57,99,479,80,684,686,993,9400,95.80877711,8,29930,8,5730163.943
הוד השרון,עירייה,מרכז,1006,4,25,1229,154,174,908,146,1258,1319,1866,9700,52.20897956,8,62325,8,19268716
נס ציונה,עירייה,מרכז,1015,7,23,1343,133,176,998,177,1373,1435,1893,7200,64.75184447,8,50214,8,15675229.15
רעננה,עירייה,מרכז,1543,8,32,1914,203,258,1393,260,1954,2053,2900,8700,103.8110564,8,73999,8,14863542.03
רמלה,עירייה,מרכז,2329,9,66,3218,339,575,2379,258,3293,3113,4326,8500,194.2043937,8,75538,4,11992519.61
באר יעקב,מועצה מקומית,מרכז,506,1,15,664,62,120,500,45,680,702,959,2530,53.47767406,8,26122,7,9461892.443
כפר סבא,עירייה,מרכז,2284,8,75,2842,349,407,2099,358,2925,2968,4167,6900,157.6734132,8,100763,8,14485638.09
רחובות,עירייה,מרכז,3130,11,69,3983,524,657,2876,463,4063,4179,5741,8400,131.7469315,8,141579,7,23757669.08
לוד,עירייה,מרכז,2367,10,65,3019,462,560,2165,226,3094,2803,4139,7000,195.8298694,7,75726,4,12087022.31
ראש העין,עירייה,מרכז,1069,4,22,1313,141,191,1014,89,1339,1372,1968,2640,67.38038938,7,56344,7,15865150.23
אלעד,עירייה,מרכז,370,1,10,470,99,146,294,20,481,390,632,1309,106.0906482,7,47866,2,3487583.554
נתניה,עירייה,מרכז,5285,21,159,6702,1026,955,4922,850,6882,6625,9623,7400,152.0922377,7,217244,6,34748650.43
ג'לג'וליה,מועצה מקומית,מרכז,63,0,6,109,2,15,92,8,115,99,128,627,33.27600109,7,9984,2,1893256.339
קרית עקרון,מועצה מקומית,מרכז,381,2,12,577,52,107,411,66,591,552,727,469,163.4080301,7,10999,5,2331586.764
כפר קאסם,עירייה,מרכז,645,3,17,849,110,194,623,30,869,740,1094,634,69.35604952,7,23241,3,9299837.642
כפר ברא,מועצה מקומית,מרכז,54,1,2,67,13,20,41,7,70,58,86,633,23.67808089,7,3594,3,2280590.232
שהם,מועצה מקומית,מרכז,275,3,4,344,29,35,283,22,351,320,472,1304,38.40654795,7,20990,9,7160237.373
יבנה,עירייה,מרכז,1015,2,12,1314,151,231,983,84,1328,1382,1868,2660,62.0168168,7,46705,6,16366528.51
אבן יהודה,מועצה מקומית,מרכז,268,3,11,340,41,54,253,38,354,392,517,182,32.42356362,7,13700,8,8265593.603
טירה,עירייה,מרכז,585,3,21,813,86,164,623,35,837,736,1045,2720,49.35998792,7,26162,4,11851704.68
מודיעין - מכבים - רעות,עירייה,מרכז,1442,2,18,1888,179,350,1371,130,1908,1937,2606,1200,29.83806643,7,92406,8,48327528.31
קדימה - צורן,מועצה מקומית,מרכז,320,1,9,412,33,72,301,45,422,439,612,195,30.51180736,6,22490,8,10487743.2
מזכרת בתיה,מועצה מקומית,מרכז,197,0,7,256,22,59,189,13,263,280,369,28,26.53358712,6,14680,8,7424552.101
פרדסיה,מועצה מקומית,מרכז,87,0,0,124,6,20,86,17,124,126,173,171,59.00070216,6,5830,8,1474558.722
תל מונד,מועצה מקומית,מרכז,193,0,6,251,18,44,184,23,257,258,362,154,27.08060728,6,12862,8,7126871.195
טייבה,עירייה,מרכז,1132,10,34,1741,162,429,1250,73,1785,1337,2001,2730,59.86528948,6,43127,3,18909120.96
גדרה,מועצה מקומית,מרכז,614,4,11,824,70,148,607,64,839,933,1212,2550,53.7038894,6,28092,7,11433063.92
כפר יונה,עירייה,מרכז,348,2,9,448,30,92,312,45,459,467,677,168,30.23305304,6,23060,7,11510580.81
כוכב יאיר,מועצה מקומית,מרכז,59,0,0,70,5,7,51,7,70,79,104,1224,19.36580349,6,8773,9,3046607.388
